Symbol,% Chg(Open),Description              ,Last Trade,Volume    ,RSI 10 Day,RSI 30 Day,Market Cap,Dividend,Exchange, 
OME   ,-19.40     ,OMEGA PROTEIN CORP       ,20.15     ,898659    ,19.46     ,34.35     ,589.00M   ,0.20    ,NYSE    , 
GEF   ,-7.76      ,GREIF INC  -CL A         ,54.11     ,920837    ,37.77     ,47.99     ,3.17B     ,1.68    ,NYSE    , 
ZEUS  ,-7.53      ,OLYMPIC STEEL INC        ,24.45     ,115193    ,50.92     ,50.70     ,284.38M   ,0.08    ,NCM     , 
GEF/B ,-6.76      ,GREIF INC  -CL A         ,66.90     ,11427     ,38.10     ,46.92     ,3.17B     ,2.52    ,NYSE    , 
TICC  ,-6.69      ,TICC CAPITAL CORP        ,7.2499    ,2000578   ,35.51     ,51.83     ,406.17M   ,1.16    ,NGM/NGS , 
SVMLF ,-6.34      ,SILVERCORP METALS INC    ,3.6715    ,420119    ,46.71     ,55.14     ,676.27M   ,0.02    ,OTC     , 
OTCM  ,-6.02      ,OTC MARKETS GROUP INC    ,19.50     ,10705     ,41.21     ,45.32     ,233.52M   ,1.16    ,OTC     , 
MUX   ,-6.01      ,MCEWEN MINING INC        ,3.1486    ,4548217   ,21.87     ,42.06     ,1.05B     ,0.01    ,NYSE    , 
WSR   ,-5.95      ,WHITESTONE REIT          ,13.90     ,148061    ,41.23     ,49.51     ,411.30M   ,1.14    ,NYSE    , 
PAAS  ,-5.36      ,PAN AMERICAN SILVER CORP ,16.59     ,2297561   ,23.00     ,43.09     ,2.74B     ,0.10    ,NGM/NGS , 
GDXJ  ,-5.29      ,VANECK VECTORS JR GLD MIN,34.65     ,18064806  ,28.83     ,43.89     ,5.40B     ,1.51    ,NYSE    , 
CRS   ,-5.24      ,CARPENTER TECHNOLOGY CORP,39.45     ,214010    ,40.04     ,49.22     ,1.96B     ,0.72    ,NYSE    , 
CDR   ,-4.98      ,CEDAR REALTY TRUST INC   ,5.53      ,315891    ,23.75     ,36.08     ,500.56M   ,0.20    ,NYSE    , 
KROTY ,-4.98      ,KROTON EDUCACIONAL SA    ,4.39      ,39036     ,48.61     ,50.92     ,7.14B     ,0.10    ,OTC     , 
BKS   ,-4.97      ,BARNES & NOBLE INC       ,9.075     ,1484369   ,25.64     ,36.99     ,719.56M   ,0.60    ,NYSE    , 
USNZY ,-4.97      ,USINAS SIDERURGICAS DE MI,1.53      ,342176    ,36.07     ,51.77     ,2.92B     ,0.01    ,OTC     , 
BBDO  ,-4.97      ,BRADESCO BANCO           ,10.07     ,4009      ,44.46     ,52.01     ,59.96B    ,0.37    ,NYSE    , 
VALE  ,-4.95      ,VALE SA                  ,9.99      ,25227014  ,40.92     ,52.49     ,55.09B    ,0.05    ,NYSE    , 
BBSEY ,-4.89      ,BB SEGURIDADE PARTICIPACO,9.14      ,16792     ,48.26     ,52.54     ,18.28B    ,0.53    ,OTC     , 
NOA   ,-4.81      ,NORTH AMERICAN ENERGY PRT,4.95      ,111552    ,37.22     ,53.89     ,147.32M   ,0.06    ,NYSE    , 
