Symbol,% Chg(Open),Description              ,Last Trade,Volume   ,Market Cap,Exchange,RSI 10 Day,RSI 30 Day, 
NVGS  ,+18.38     ,NAVIGATOR HOLDINGS LTD   ,13.85     ,858130   ,609.82M   ,NYSE    ,82.13     ,70.11     , 
NOAH  ,+6.41      ,NOAH HOLDINGS LTD  -ADR  ,28.70     ,463018   ,1.52B     ,NYSE    ,87.34     ,71.20     , 
OSUR  ,+5.38      ,ORASURE TECHNOLOGIES INC ,11.94     ,1177839  ,634.22M   ,NCM     ,87.64     ,75.33     , 
BLDR  ,+5.32      ,BUILDERS FIRSTSOURCE     ,15.63     ,4409527  ,1.62B     ,NGM/NGS ,89.43     ,72.98     , 
NTRI  ,+4.65      ,NUTRISYSTEM INC          ,49.08     ,415704   ,1.40B     ,NGM/NGS ,92.26     ,77.97     , 
AKAO  ,+4.08      ,ACHAOGEN INC             ,25.02     ,1078418  ,831.59M   ,NASDAQ  ,83.45     ,76.22     , 
AAOI  ,+4.02      ,APPLIED OPTOELECTRONICS I,48.86     ,1143537  ,805.73M   ,NASDAQ  ,85.21     ,78.43     , 
WMGI  ,+2.93      ,WRIGHT MEDICAL GROUP NV  ,28.80     ,901248   ,2.90B     ,NGM/NGS ,79.66     ,70.07     , 
ASND  ,+2.62      ,ASCENDIS PHARMA AS -ADR  ,30.19     ,57127    ,931.56M   ,NASDAQ  ,90.38     ,81.83     , 
EIX   ,+2.01      ,EDISON INTERNATIONAL     ,80.53     ,1057883  ,25.86B    ,NYSE    ,85.15     ,70.24     , 
RP    ,+1.93      ,REALPAGE INC             ,35.58     ,388630   ,2.86B     ,NGM/NGS ,81.08     ,71.78     , 
SP    ,+1.82      ,SP PLUS CORP             ,33.60     ,37878    ,737.78M   ,NASDAQ  ,89.50     ,73.50     , 
BBXT  ,+1.70      ,BBX CAPITAL CORPORATION  ,6.59      ,1282136  ,659.58M   ,OTC     ,84.24     ,77.57     , 
RESI  ,+1.55      ,ALTISOURCE RESIDENTIAL CO,14.38     ,651506   ,755.64M   ,NYSE    ,79.68     ,71.73     , 
AWI   ,+1.48      ,ARMSTRONG WORLD INDUSTRIE,47.90     ,239349   ,2.54B     ,NYSE    ,86.43     ,70.24     , 
CGNX  ,+1.44      ,COGNEX CORP              ,79.50     ,606093   ,6.82B     ,NGM/NGS ,79.32     ,72.58     , 
OGE   ,+1.18      ,OGE ENERGY CORP          ,37.23     ,582555   ,7.39B     ,NYSE    ,89.84     ,72.21     , 
DOOR  ,+1.01      ,MASONITE INTERNATIONAL CO,79.80     ,184943   ,2.36B     ,NYSE    ,84.09     ,72.42     , 
STM   ,+1.00      ,STMICROELECTRONICS NV    ,15.62     ,5938798  ,14.09B    ,NYSE    ,72.18     ,71.93     , 
PJT   ,+0.99      ,PJT PARTNERS INC         ,38.64     ,57827    ,712.57M   ,NYSE    ,77.96     ,71.59     , 
