Symbol,% Chg(Open),Last Trade,Change,High ,Low   ,Volume    ,Prev Close,Open ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
HL    ,-5.34      ,4.96      ,-0.30 ,5.25 ,4.94  ,5487282   ,5.26      ,5.24 ,-5.70   ,2.08B     ,Materials             ,NYSE    ,29.46    , 
GFI   ,-5.23      ,3.08      ,-0.16 ,3.25 ,3.05  ,5542729   ,3.24      ,3.25 ,-4.94   ,2.59B     ,Materials             ,NYSE    ,16.20    , 
AKRX  ,-4.81      ,22.25     ,-1.86 ,23.90,22.13 ,2143198   ,24.11     ,23.37,-7.74   ,3.00B     ,Health Care           ,NASDAQ  ,16.40    , 
CAR   ,-4.76      ,32.43     ,-2.04 ,34.20,32.11 ,1801351   ,34.47     ,34.05,-5.92   ,2.96B     ,Industrials           ,NASDAQ  ,19.70    , 
RAD   ,-4.39      ,5.23      ,-0.22 ,5.49 ,5.20  ,22032731  ,5.45      ,5.47 ,-4.04   ,5.74B     ,Consumer Staples      ,NYSE    ,68.57    , 
JBLU  ,-4.25      ,19.29     ,-0.92 ,20.14,19.11 ,7856856   ,20.20     ,20.14,-4.53   ,6.81B     ,Industrials           ,NGM/NGS ,9.08     , 
AAL   ,-3.62      ,44.73     ,-2.09 ,46.68,44.38 ,7994844   ,46.82     ,46.41,-4.46   ,23.60B    ,Industrials           ,NASDAQ  ,9.73     , 
RIG   ,-3.50      ,12.96     ,-0.57 ,13.44,12.76 ,11106897  ,13.53     ,13.43,-4.21   ,5.05B     ,Energy                ,NYSE    ,6.44     , 
TPX   ,-3.43      ,45.39     ,-2.15 ,47.00,45.04 ,975894    ,47.54     ,47.00,-4.52   ,2.56B     ,Consumer Discretionary,NYSE    ,14.07    , 
IVPAF ,-3.30      ,2.93      ,-0.19 ,3.03 ,2.8702,163471    ,3.12      ,3.03 ,-6.09   ,2.43B     ,Materials             ,OTC     ,3.44     , 
CXW   ,-3.26      ,33.08     ,-1.34 ,34.27,33.00 ,1058237   ,34.42     ,34.19,-3.91   ,4.05B     ,Real Estate           ,NYSE    ,18.41    , 
PAAS  ,-3.17      ,16.20     ,-0.62 ,16.77,16.08 ,1408893   ,16.82     ,16.73,-3.69   ,2.55B     ,Materials             ,NGM/NGS ,25.56    , 
KSS   ,-3.13      ,39.28     ,-2.06 ,40.74,39.03 ,2764285   ,41.34     ,40.55,-4.98   ,7.30B     ,Consumer Discretionary,NYSE    ,13.29    , 
M     ,-2.97      ,30.39     ,-1.38 ,31.35,30.26 ,7227131   ,31.77     ,31.32,-4.34   ,9.66B     ,Consumer Discretionary,NYSE    ,15.96    , 
AEM   ,-2.90      ,39.78     ,-1.45 ,41.09,39.61 ,1576584   ,41.23     ,40.97,-3.52   ,9.27B     ,Materials             ,NYSE    ,58.90    , 
UAL   ,-2.89      ,72.69     ,-2.90 ,74.85,71.90 ,3623580   ,75.59     ,74.85,-3.84   ,23.78B    ,Industrials           ,NYSE    ,11.04    , 
AU    ,-2.88      ,10.13     ,-0.47 ,10.45,10.08 ,2376702   ,10.60     ,10.43,-4.43   ,4.25B     ,Materials             ,NYSE    ,70.67    , 
SID   ,-2.67      ,3.64      ,-0.17 ,3.77 ,3.63  ,2689457   ,3.81      ,3.74 ,-4.46   ,5.27B     ,Materials             ,NYSE    ,14.02    , 
ESV   ,-2.64      ,9.59      ,-0.32 ,9.86 ,9.44  ,5492287   ,9.91      ,9.85 ,-3.23   ,3.00B     ,Energy                ,NYSE    ,3.17     , 
CSRA  ,-2.61      ,28.73     ,-1.21 ,29.61,28.41 ,897256    ,29.94     ,29.50,-4.04   ,4.88B     ,Information Technology,NYSE    ,25.27    , 
