Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
THO   ,-6.56      ,103.53    ,-11.89,111.00,102.55,3411011   ,115.42    ,110.80,-10.30  ,6.07B     ,Consumer Discretionary    ,NYSE    ,21.35    , 
STLD  ,-3.21      ,34.40     ,-1.25 ,35.91 ,34.39 ,2631067   ,35.65     ,35.54 ,-3.51   ,8.64B     ,Materials                 ,NGM/NGS ,22.86    , 
NUE   ,-2.63      ,61.13     ,-1.68 ,63.11 ,61.10 ,1719681   ,62.81     ,62.78 ,-2.67   ,20.03B    ,Materials                 ,NYSE    ,25.31    , 
MGM   ,-2.52      ,25.71     ,-0.84 ,26.41 ,25.33 ,18552482  ,26.55     ,26.37 ,-3.18   ,15.24B    ,Consumer Discretionary    ,NYSE    ,13.82    , 
TDG   ,-2.51      ,241.39    ,-5.80 ,248.34,233.75,1744471   ,247.19    ,247.61,-2.35   ,13.06B    ,Industrials               ,NYSE    ,28.89    , 
SIG   ,-2.46      ,63.09     ,-2.50 ,64.99 ,62.10 ,2370995   ,65.59     ,64.68 ,-3.81   ,5.11B     ,Consumer Discretionary    ,NYSE    ,9.82     , 
BF/B  ,-2.32      ,47.13     ,-1.35 ,48.25 ,46.79 ,1674548   ,48.48     ,48.25 ,-2.78   ,18.78B    ,Consumer Staples          ,NYSE    ,18.35    , 
CTL   ,-2.19      ,22.53     ,-0.58 ,23.09 ,22.37 ,9081786   ,23.10     ,23.03 ,-2.49   ,12.63B    ,Telecommunication Services,NYSE    ,19.91    , 
HLF   ,-2.15      ,53.37     ,-1.33 ,54.70 ,53.20 ,1338088   ,54.70     ,54.54 ,-2.43   ,5.09B     ,Consumer Staples          ,NYSE    ,18.11    , 
ESRX  ,-2.10      ,67.44     ,-2.61 ,69.08 ,67.32 ,6671819   ,70.05     ,68.89 ,-3.73   ,42.43B    ,Health Care               ,NGM/NGS ,13.00    , 
CSX   ,-2.03      ,48.69     ,-1.10 ,50.31 ,48.56 ,12307282  ,49.79     ,49.70 ,-2.21   ,46.13B    ,Industrials               ,NASDAQ  ,27.53    , 
BRX   ,-1.97      ,21.86     ,-0.44 ,22.34 ,21.83 ,1369515   ,22.30     ,22.30 ,-1.97   ,6.79B     ,Real Estate               ,NYSE    ,24.47    , 
WRK   ,-1.95      ,50.95     ,-1.22 ,52.20 ,50.79 ,1378981   ,52.16     ,51.96 ,-2.33   ,13.06B    ,Materials                 ,NYSE    ,96.86    , 
LB    ,-1.87      ,50.26     ,-1.18 ,51.73 ,50.00 ,2386593   ,51.44     ,51.22 ,-2.29   ,14.71B    ,Consumer Discretionary    ,NYSE    ,12.93    , 
JWN   ,-1.87      ,44.16     ,-1.34 ,45.55 ,44.12 ,2751194   ,45.50     ,45.00 ,-2.94   ,7.74B     ,Consumer Discretionary    ,NYSE    ,22.52    , 
MPC   ,-1.64      ,50.30     ,-0.85 ,51.45 ,50.28 ,2240665   ,51.15     ,51.14 ,-1.66   ,27.00B    ,Energy                    ,NYSE    ,23.14    , 
CTSH  ,-1.63      ,57.86     ,-0.97 ,59.30 ,57.85 ,3770404   ,58.83     ,58.82 ,-1.65   ,35.81B    ,Information Technology    ,NGM/NGS ,23.07    , 
MOS   ,-1.60      ,29.20     ,-0.46 ,29.71 ,28.96 ,5606243   ,29.65     ,29.67 ,-1.53   ,10.38B    ,Materials                 ,NYSE    ,34.89    , 
MAT   ,-1.54      ,25.01     ,-0.46 ,25.49 ,24.97 ,2959557   ,25.47     ,25.40 ,-1.81   ,8.72B     ,Consumer Discretionary    ,NASDAQ  ,27.68    , 
GGP   ,-1.52      ,23.93     ,-0.34 ,24.34 ,23.70 ,2967463   ,24.27     ,24.30 ,-1.40   ,21.48B    ,Real Estate               ,NYSE    ,18.11    , 
