Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm),Industry                                      ,Sub-Industry                      , 
TECD  ,-4.14      ,90.23     ,-3.57 ,94.75 ,88.16 ,512950    ,93.80     ,94.13 ,-3.81   ,3.57B     ,Information Technology,NGM/NGS ,15.60    ,Electronic Equipment Instruments & Components ,Technology Distributors           , 
CIEN  ,-3.70      ,23.94     ,-2.23 ,25.14 ,23.52 ,12619688  ,26.17     ,24.86 ,-8.52   ,3.70B     ,Information Technology,NYSE    ,50.96    ,Communications Equipment                      ,Communications Equipment          , 
TCBI  ,-3.30      ,87.90     ,-1.80 ,91.70 ,87.85 ,264854    ,89.70     ,90.90 ,-2.01   ,4.44B     ,Financials            ,NGM/NGS ,28.84    ,Banks                                         ,Regional Banks                    , 
HGV   ,-3.01      ,28.01     ,-0.78 ,28.88 ,27.92 ,428389    ,28.79     ,28.88 ,-2.71   ,2.85B     ,Consumer Discretionary,NYSE    ,16.97    ,Hotels Restaurants & Leisure                  ,Hotels Resorts & Cruise Lines     , 
RIO   ,-2.94      ,39.83     ,-0.78 ,41.07 ,39.73 ,6567971   ,40.61     ,41.03 ,-1.93   ,55.50B    ,Materials             ,NYSE    ,15.91    ,Metals & Mining                               ,Diversified Metals & Mining       , 
PAGP  ,-2.78      ,31.84     ,-1.16 ,32.95 ,31.77 ,1818920   ,33.00     ,32.75 ,-3.52   ,5.00B     ,Energy                ,NYSE    ,35.11    ,Oil Gas & Consumable Fuels                    ,Oil & Gas Storage & Transportation, 
RDY   ,-2.74      ,41.30     ,-1.14 ,42.71 ,40.94 ,580905    ,42.44     ,42.46 ,-2.70   ,7.08B     ,Health Care           ,NYSE    ,49.68    ,Pharmaceuticals                               ,Pharmaceuticals                   , 
DFT   ,-2.69      ,47.34     ,-1.44 ,48.65 ,47.33 ,578679    ,48.78     ,48.65 ,-2.95   ,3.78B     ,Real Estate           ,NYSE    ,29.21    ,Equity Real Estate Investment Trusts (REITs)  ,Specialized REITs                 , 
PB    ,-2.69      ,74.19     ,-0.72 ,76.28 ,74.16 ,163749    ,74.91     ,76.24 ,-0.96   ,5.20B     ,Financials            ,NYSE    ,19.02    ,Banks                                         ,Regional Banks                    , 
THO   ,-2.67      ,101.51    ,-2.50 ,105.00,100.84,1269655   ,104.01    ,104.30,-2.40   ,5.47B     ,Consumer Discretionary,NYSE    ,19.24    ,Automobiles                                   ,Automobile Manufacturers          , 
FFIN  ,-2.63      ,42.55     ,-0.65 ,44.10 ,42.55 ,127636    ,43.20     ,43.70 ,-1.50   ,2.86B     ,Financials            ,NGM/NGS ,27.22    ,Banks                                         ,Regional Banks                    , 
BPOP  ,-2.58      ,42.21     ,-0.56 ,43.53 ,41.93 ,1112094   ,42.77     ,43.33 ,-1.31   ,4.44B     ,Financials            ,NGM/NGS ,20.75    ,Banks                                         ,Regional Banks                    , 
OKE   ,-2.58      ,55.14     ,-1.44 ,56.76 ,54.99 ,1127525   ,56.58     ,56.60 ,-2.55   ,11.92B    ,Energy                ,NYSE    ,34.08    ,Oil Gas & Consumable Fuels                    ,Oil & Gas Storage & Transportation, 
SBGI  ,-2.58      ,41.55     ,-0.75 ,42.90 ,41.50 ,420788    ,42.30     ,42.65 ,-1.77   ,2.74B     ,Consumer Discretionary,NGM/NGS ,16.27    ,Media                                         ,Broadcasting                      , 
OKS   ,-2.48      ,53.51     ,-1.38 ,55.00 ,53.42 ,204918    ,54.89     ,54.87 ,-2.51   ,11.68B    ,Energy                ,NYSE    ,24.39    ,Oil Gas & Consumable Fuels                    ,Oil & Gas Storage & Transportation, 
WBS   ,-2.30      ,54.81     ,-0.41 ,56.53 ,54.80 ,286467    ,55.22     ,56.10 ,-0.74   ,5.08B     ,Financials            ,NYSE    ,25.56    ,Banks                                         ,Regional Banks                    , 
BBL   ,-2.30      ,31.46     ,-1.38 ,32.21 ,31.41 ,1317120   ,32.84     ,32.20 ,-4.20   ,34.56B    ,Materials             ,NYSE    ,35.24    ,Metals & Mining                               ,Diversified Metals & Mining       , 
URI   ,-2.21      ,125.99    ,-2.16 ,129.98,125.56,875018    ,128.15    ,128.84,-1.69   ,10.80B    ,Industrials           ,NYSE    ,19.87    ,Trading Companies & Distributors              ,Trading Companies & Distributors  , 
RBA   ,-2.21      ,30.95     ,-0.58 ,31.65 ,30.94 ,211028    ,31.53     ,31.65 ,-1.84   ,3.37B     ,Industrials           ,NYSE    ,37.09    ,Commercial Services & Supplies                ,Diversified Support Services      , 
HBHC  ,-2.20      ,46.60     ,-0.50 ,47.80 ,46.55 ,299781    ,47.10     ,47.65 ,-1.06   ,3.97B     ,Financials            ,NGM/NGS ,25.19    ,Banks                                         ,Regional Banks                    , 
