Symbol,% Chg(Open),Description              ,Last Trade,Volume    ,Market Cap,Exchange,RSI 10 Day,RSI 30 Day, 
PBYI  ,+14.10     ,PUMA BIOTECHNOLOGY INC   ,33.09     ,7666015   ,1.40B     ,NASDAQ  ,40.36     ,45.49     , 
XON   ,+11.32     ,INTREXON CORP            ,23.50     ,3091892   ,2.58B     ,NYSE    ,58.33     ,48.49     , 
ANF   ,+7.76      ,ABERCROMBIE & FITCH  -CL ,13.49     ,16575507  ,791.12M   ,NYSE    ,66.91     ,54.02     , 
BBY   ,+6.75      ,BEST BUY CO INC          ,45.07     ,10299984  ,13.22B    ,NYSE    ,51.84     ,51.95     , 
CROX  ,+6.17      ,CROCS INC                ,7.23      ,2260698   ,507.47M   ,NGM/NGS ,62.08     ,50.85     , 
RTRX  ,+6.04      ,RETROPHIN INC            ,21.69     ,1394288   ,811.24M   ,NASDAQ  ,67.25     ,57.34     , 
VSI   ,+5.50      ,VITAMIN SHOPPE INC       ,22.42     ,231259    ,508.49M   ,NYSE    ,54.20     ,48.08     , 
OUT   ,+5.38      ,OUTFRONT MEDIA INC       ,26.66     ,935784    ,3.50B     ,NYSE    ,52.01     ,53.92     , 
AEO   ,+5.15      ,AMERN EAGLE OUTFITTERS IN,15.01     ,7187728   ,2.61B     ,NYSE    ,47.24     ,46.80     , 
URBN  ,+5.13      ,URBAN OUTFITTERS INC     ,26.86     ,2109028   ,2.96B     ,NGM/NGS ,50.80     ,45.11     , 
BKE   ,+5.05      ,BUCKLE INC               ,19.75     ,751983    ,926.27M   ,NYSE    ,41.67     ,43.03     , 
ASNA  ,+4.89      ,ASCENA RETAIL GROUP INC  ,4.72      ,2400589   ,866.70M   ,NGM/NGS ,42.85     ,42.61     , 
CCRN  ,+4.78      ,CROSS COUNTRY HEALTHCARE ,15.77     ,528606    ,522.89M   ,NGM/NGS ,57.50     ,56.39     , 
GCO   ,+4.78      ,GENESCO INC              ,60.30     ,101702    ,1.15B     ,NYSE    ,50.61     ,48.74     , 
PLCE  ,+4.67      ,CHILDRENS PLACE INC      ,103.00    ,309697    ,1.77B     ,NGM/NGS ,57.24     ,54.41     , 
LPG   ,+4.46      ,DORIAN LPG LTD           ,10.31     ,291083    ,548.57M   ,NYSE    ,57.16     ,54.66     , 
GES   ,+4.32      ,GUESS INC                ,13.03     ,1266018   ,1.05B     ,NYSE    ,53.34     ,49.80     , 
ITCI  ,+4.31      ,INTRA-CELLULAR THERAPIES ,15.26     ,1301998   ,631.71M   ,NASDAQ  ,69.01     ,51.76     , 
CNQ   ,+4.24      ,CANADIAN NATURAL RESOURCE,30.50     ,6642927   ,32.08B    ,NYSE    ,58.06     ,49.46     , 
SUPN  ,+4.12      ,SUPERNUS PHARMACEUTICALS ,27.18     ,837354    ,1.30B     ,NASDAQ  ,61.85     ,56.35     , 
