Symbol,% Chg(Open),Description              ,Last Trade,Volume    ,RSI 10 Day,RSI 30 Day,Market Cap,Exchange, 
AUPH  ,-23.19     ,AURINIA PHARMACEUTICALS I,4.5699    ,40572219  ,77.31     ,66.77     ,195.50M   ,NASDAQ  , 
GBT   ,-9.08      ,GLOBAL BLOOD THERAPEUTICS,27.28     ,2178474   ,61.29     ,62.63     ,1.24B     ,NASDAQ  , 
VRML  ,-7.72      ,VERMILLION INC           ,2.63      ,1279991   ,85.85     ,78.19     ,122.97M   ,NCM     , 
TCMD  ,-7.11      ,TACTILE SYSTEMS TECHNOLOG,18.68     ,94643     ,64.31     ,--        ,343.50M   ,NASDAQ  , 
NDRM  ,-6.68      ,NEURODERM LTD            ,28.28     ,808133    ,69.61     ,63.71     ,771.64M   ,NASDAQ  , 
GKOS  ,-6.40      ,GLAUKOS CORP             ,48.59     ,1620883   ,75.43     ,70.02     ,1.54B     ,NYSE    , 
CZR   ,-5.94      ,CAESARS ENTERTAINMENT COR,9.50      ,330796    ,61.77     ,59.27     ,1.43B     ,NASDAQ  , 
BLUE  ,-5.38      ,BLUEBIRD BIO INC         ,88.90     ,751101    ,68.04     ,63.04     ,3.79B     ,NSC     , 
KURA  ,-5.16      ,KURA ONCOLOGY INC        ,8.9148    ,78752     ,74.78     ,67.63     ,197.65M   ,NASDAQ  , 
GOL   ,-5.04      ,GOL LINHAS AEREAS INTELIG,28.43     ,139508    ,64.41     ,65.16     ,603.71M   ,NYSE    , 
GOGO  ,-4.21      ,GOGO INC                 ,10.92     ,1355065   ,70.53     ,61.15     ,984.64M   ,NASDAQ  , 
CBAY  ,-4.20      ,CYMABAY THERAPEUTICS INC ,3.42      ,239719    ,71.53     ,67.51     ,102.77M   ,NASDAQ  , 
SBBX  ,-4.14      ,SUSSEX BANCORP           ,24.20     ,7135      ,68.64     ,66.20     ,117.58M   ,NASDAQ  , 
GTN   ,-4.14      ,GRAY TELEVISION INC      ,13.90     ,723620    ,66.83     ,65.29     ,1.05B     ,NYSE    , 
PRGX  ,-3.91      ,PRGX GLOBAL INC          ,6.15      ,10933     ,61.06     ,57.75     ,138.46M   ,NCM     , 
IRIX  ,-3.80      ,IRIDEX CORP              ,15.69     ,8729      ,72.10     ,62.24     ,180.62M   ,NCM     , 
TMST  ,-3.47      ,TIMKENSTEEL CORP         ,21.68     ,391729    ,68.03     ,65.42     ,1.01B     ,NYSE    , 
EXAS  ,-3.45      ,EXACT SCIENCES CORP      ,22.69     ,4090581   ,69.81     ,64.56     ,2.45B     ,NCM     , 
NRP   ,-3.21      ,NATURAL RESOURCE PARTNERS,42.15     ,44610     ,61.35     ,60.39     ,532.70M   ,NYSE    , 
FAS   ,-3.11      ,DIREXION DAILY FINL BULL ,49.29     ,3427368   ,67.19     ,65.83     ,1.52B     ,NYSE    , 
