Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume   ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm),Price/Book Ratio, 
HL    ,-5.34      ,4.96      ,-0.30 ,5.25  ,4.94  ,5487082  ,5.26      ,5.24  ,-5.70   ,2.08B     ,Materials             ,NYSE    ,29.46    ,1.41            , 
JBLU  ,-4.25      ,19.29     ,-0.92 ,20.14 ,19.11 ,7853956  ,20.20     ,20.14 ,-4.53   ,6.81B     ,Industrials           ,NGM/NGS ,9.08     ,1.74            , 
IVPAF ,-3.30      ,2.93      ,-0.19 ,3.03  ,2.8702,163471   ,3.12      ,3.03  ,-6.09   ,2.43B     ,Materials             ,OTC     ,3.44     ,2.22            , 
CXW   ,-3.26      ,33.08     ,-1.34 ,34.27 ,33.00 ,1058237  ,34.42     ,34.19 ,-3.91   ,4.05B     ,Real Estate           ,NYSE    ,18.41    ,2.94            , 
KSS   ,-3.16      ,39.27     ,-2.07 ,40.74 ,39.03 ,2763880  ,41.34     ,40.55 ,-5.01   ,7.30B     ,Consumer Discretionary,NYSE    ,13.29    ,1.39            , 
PAAS  ,-3.14      ,16.20     ,-0.62 ,16.77 ,16.08 ,1408793  ,16.82     ,16.73 ,-3.66   ,2.55B     ,Materials             ,NGM/NGS ,25.56    ,1.84            , 
AEM   ,-2.93      ,39.77     ,-1.46 ,41.09 ,39.61 ,1575606  ,41.23     ,40.97 ,-3.54   ,9.27B     ,Materials             ,NYSE    ,58.90    ,2.45            , 
AU    ,-2.88      ,10.13     ,-0.47 ,10.45 ,10.08 ,2376702  ,10.60     ,10.43 ,-4.43   ,4.25B     ,Materials             ,NYSE    ,70.67    ,1.69            , 
SID   ,-2.67      ,3.64      ,-0.17 ,3.77  ,3.63  ,2689457  ,3.81      ,3.74  ,-4.46   ,5.27B     ,Materials             ,NYSE    ,14.02    ,9.29            , 
WSM   ,-2.48      ,48.43     ,-1.91 ,50.08 ,48.06 ,1421762  ,50.34     ,49.66 ,-3.79   ,4.42B     ,Consumer Discretionary,NYSE    ,14.97    ,3.83            , 
UAA   ,-2.43      ,20.09     ,-0.50 ,20.62 ,19.99 ,3072363  ,20.59     ,20.59 ,-2.43   ,7.89B     ,Consumer Discretionary,NYSE    ,46.26    ,6.44            , 
HTHT  ,-2.36      ,57.67     ,-2.11 ,59.68 ,57.01 ,116324   ,59.78     ,59.06 ,-3.54   ,4.13B     ,Consumer Discretionary,NGM/NGS ,35.99    ,7.67            , 
AEO   ,-2.28      ,14.59     ,-0.36 ,15.00 ,14.50 ,2868350  ,14.95     ,14.93 ,-2.41   ,2.72B     ,Consumer Discretionary,NYSE    ,12.89    ,2.39            , 
HGKGY ,-2.23      ,8.75      ,-0.05 ,8.95  ,8.75  ,855      ,8.80      ,8.95  ,-0.57   ,18.96B    ,Utilities             ,OTC     ,18.47    ,1.19            , 
ALGT  ,-2.18      ,168.00    ,-4.50 ,171.79,166.30,50734    ,172.50    ,171.75,-2.61   ,2.87B     ,Industrials           ,NASDAQ  ,13.06    ,5.97            , 
PBF   ,-2.15      ,22.27     ,-0.53 ,22.93 ,22.18 ,1249755  ,22.80     ,22.76 ,-2.33   ,2.49B     ,Energy                ,NYSE    ,13.13    ,1.24            , 
TGT   ,-2.11      ,56.09     ,-1.26 ,57.35 ,56.01 ,7346529  ,57.35     ,57.30 ,-2.20   ,31.90B    ,Consumer Discretionary,NYSE    ,12.21    ,2.92            , 
LUV   ,-2.02      ,57.33     ,-1.53 ,58.60 ,57.16 ,4037931  ,58.86     ,58.51 ,-2.60   ,36.21B    ,Industrials           ,NYSE    ,16.59    ,5.15            , 
UA    ,-1.91      ,18.26     ,-0.38 ,18.65 ,18.20 ,2192942  ,18.64     ,18.62 ,-2.02   ,7.89B     ,Consumer Discretionary,NYSE    ,41.88    ,5.83            , 
WLMIY ,-1.90      ,25.27     ,-0.37 ,25.76 ,25.27 ,146      ,25.64     ,25.76 ,-1.44   ,16.46B    ,Consumer Staples      ,OTC     ,16.71    ,1.62            , 
