Symbol,% Chg(Open),Last Trade,Change,High ,Low   ,Volume    ,Prev Close,Open ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm),Price/Book Ratio, 
HL    ,-5.25      ,4.965     ,-0.295,5.25 ,4.94  ,5480682   ,5.26      ,5.24 ,-5.61   ,2.08B     ,Materials             ,NYSE    ,29.46    ,1.41            , 
GFI   ,-5.23      ,3.08      ,-0.16 ,3.25 ,3.05  ,5535629   ,3.24      ,3.25 ,-4.94   ,2.59B     ,Materials             ,NYSE    ,16.20    ,0.97            , 
CAR   ,-4.88      ,32.39     ,-2.08 ,34.20,32.11 ,1793930   ,34.47     ,34.05,-6.03   ,2.96B     ,Industrials           ,NASDAQ  ,19.70    ,--              , 
AKRX  ,-4.71      ,22.27     ,-1.84 ,23.90,22.13 ,2130830   ,24.11     ,23.37,-7.63   ,3.00B     ,Health Care           ,NASDAQ  ,16.40    ,--              , 
JBLU  ,-4.22      ,19.29     ,-0.91 ,20.14,19.11 ,7850220   ,20.20     ,20.14,-4.50   ,6.81B     ,Industrials           ,NGM/NGS ,9.08     ,1.74            , 
RAD   ,-3.93      ,5.255     ,-0.195,5.49 ,5.20  ,21514564  ,5.45      ,5.47 ,-3.58   ,5.74B     ,Consumer Staples      ,NYSE    ,68.57    ,--              , 
AAL   ,-3.68      ,44.70     ,-2.12 ,46.68,44.38 ,7975084   ,46.82     ,46.41,-4.52   ,23.60B    ,Industrials           ,NASDAQ  ,9.73     ,--              , 
RIG   ,-3.57      ,12.95     ,-0.58 ,13.44,12.76 ,11084728  ,13.53     ,13.43,-4.29   ,5.05B     ,Energy                ,NYSE    ,6.44     ,0.33            , 
TPX   ,-3.45      ,45.38     ,-2.16 ,47.00,45.04 ,975194    ,47.54     ,47.00,-4.54   ,2.56B     ,Consumer Discretionary,NYSE    ,14.07    ,--              , 
IVPAF ,-3.30      ,2.93      ,-0.19 ,3.03 ,2.8702,163471    ,3.12      ,3.03 ,-6.09   ,2.43B     ,Materials             ,OTC     ,3.44     ,2.22            , 
CXW   ,-3.26      ,33.08     ,-1.34 ,34.27,33.00 ,1057832   ,34.42     ,34.19,-3.91   ,4.05B     ,Real Estate           ,NYSE    ,18.41    ,2.94            , 
KSS   ,-3.22      ,39.25     ,-2.10 ,40.74,39.03 ,2754968   ,41.34     ,40.55,-5.07   ,7.30B     ,Consumer Discretionary,NYSE    ,13.29    ,1.39            , 
M     ,-3.07      ,30.36     ,-1.41 ,31.35,30.26 ,7188577   ,31.77     ,31.32,-4.44   ,9.66B     ,Consumer Discretionary,NYSE    ,15.96    ,--              , 
PAAS  ,-3.05      ,16.22     ,-0.60 ,16.77,16.08 ,1404308   ,16.82     ,16.73,-3.57   ,2.55B     ,Materials             ,NGM/NGS ,25.56    ,1.84            , 
UAL   ,-2.87      ,72.70     ,-2.89 ,74.85,71.90 ,3618690   ,75.59     ,74.85,-3.82   ,23.78B    ,Industrials           ,NYSE    ,11.04    ,47.19           , 
AU    ,-2.83      ,10.14     ,-0.46 ,10.45,10.08 ,2370523   ,10.60     ,10.43,-4.39   ,4.25B     ,Materials             ,NYSE    ,70.67    ,1.69            , 
ESV   ,-2.79      ,9.575     ,-0.335,9.86 ,9.44  ,5462249   ,9.91      ,9.85 ,-3.38   ,3.00B     ,Energy                ,NYSE    ,3.17     ,0.37            , 
GZPFY ,-2.69      ,18.30     ,-0.41 ,18.81,18.30 ,2703      ,18.71     ,18.81,-2.17   ,17.60B    ,Energy                ,OTC     ,5.93     ,0.84            , 
AEM   ,-2.68      ,39.87     ,-1.36 ,41.09,39.61 ,1565061   ,41.23     ,40.97,-3.30   ,9.27B     ,Materials             ,NYSE    ,58.90    ,2.45            , 
SID   ,-2.67      ,3.64      ,-0.17 ,3.77 ,3.63  ,2689457   ,3.81      ,3.74 ,-4.46   ,5.27B     ,Materials             ,NYSE    ,14.02    ,9.29            , 
