Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm),Industry                                    ,Sub-Industry                         , 
DKS   ,-6.68      ,47.71     ,-4.90 ,51.25 ,47.54 ,21471632  ,52.61     ,51.13 ,-9.31   ,4.63B     ,Consumer Discretionary    ,NYSE    ,18.21    ,Specialty Retail                            ,Specialty Stores                     , 
THO   ,-5.43      ,104.79    ,-10.63,111.00,102.55,3108393   ,115.42    ,110.80,-9.21   ,6.07B     ,Consumer Discretionary    ,NYSE    ,21.35    ,Automobiles                                 ,Automobile Manufacturers             , 
FNGN  ,-4.00      ,43.11     ,-2.24 ,44.95 ,42.90 ,754578    ,45.35     ,44.90 ,-4.95   ,2.82B     ,Financials                ,NASDAQ  ,98.59    ,Capital Markets                             ,Asset Management & Custody Banks     , 
SBH   ,-3.59      ,20.93     ,-0.36 ,21.71 ,20.79 ,904239    ,21.29     ,21.71 ,-1.69   ,3.06B     ,Consumer Discretionary    ,NYSE    ,13.20    ,Specialty Retail                            ,Specialty Stores                     , 
GEF   ,-3.39      ,53.37     ,-1.99 ,55.36 ,53.08 ,118160    ,55.36     ,55.24 ,-3.60   ,2.86B     ,Materials                 ,NYSE    ,28.96    ,Containers & Packaging                      ,Metal & Glass Containers             , 
TDG   ,-3.17      ,239.76    ,-7.43 ,248.34,233.75,1385144   ,247.19    ,247.61,-3.01   ,13.06B    ,Industrials               ,NYSE    ,28.89    ,Aerospace & Defense                         ,Aerospace & Defense                  , 
SIG   ,-3.11      ,62.67     ,-2.92 ,64.99 ,62.10 ,2045488   ,65.59     ,64.68 ,-4.45   ,5.11B     ,Consumer Discretionary    ,NYSE    ,9.82     ,Specialty Retail                            ,Specialty Stores                     , 
KS    ,-3.10      ,21.87     ,-0.79 ,22.64 ,21.75 ,1043408   ,22.66     ,22.57 ,-3.49   ,2.19B     ,Materials                 ,NYSE    ,25.75    ,Paper & Forest Products                     ,Paper Products                       , 
HGV   ,-2.87      ,28.80     ,-0.89 ,29.68 ,28.66 ,248627    ,29.69     ,29.65 ,-3.00   ,2.94B     ,Consumer Discretionary    ,NYSE    ,17.50    ,Hotels Restaurants & Leisure                ,Hotels Resorts & Cruise Lines        , 
MGM   ,-2.84      ,25.62     ,-0.93 ,26.41 ,25.33 ,15188389  ,26.55     ,26.37 ,-3.50   ,15.24B    ,Consumer Discretionary    ,NYSE    ,13.82    ,Hotels Restaurants & Leisure                ,Casinos & Gaming                     , 
MIK   ,-2.79      ,20.90     ,+0.37 ,21.84 ,20.53 ,2938667   ,20.53     ,21.50 ,+1.80   ,4.13B     ,Consumer Discretionary    ,NGM/NGS ,11.72    ,Specialty Retail                            ,Specialty Stores                     , 
MSA   ,-2.67      ,70.67     ,-2.02 ,72.61 ,70.64 ,129623    ,72.69     ,72.61 ,-2.78   ,2.74B     ,Industrials               ,NYSE    ,30.04    ,Commercial Services & Supplies              ,Office Services & Supplies           , 
USG   ,-2.53      ,32.72     ,-0.87 ,33.77 ,32.71 ,807046    ,33.59     ,33.57 ,-2.59   ,4.91B     ,Industrials               ,NYSE    ,9.69     ,Building Products                           ,Building Products                    , 
FIVE  ,-2.46      ,37.92     ,-1.04 ,39.38 ,37.91 ,532247    ,38.96     ,38.87 ,-2.68   ,2.14B     ,Consumer Discretionary    ,NASDAQ  ,33.66    ,Specialty Retail                            ,Specialty Stores                     , 
CTL   ,-2.43      ,22.47     ,-0.63 ,23.09 ,22.47 ,7351989   ,23.10     ,23.03 ,-2.73   ,12.63B    ,Telecommunication Services,NYSE    ,19.91    ,Diversified Telecommunication Services      ,Integrated Telecommunication Services, 
KEX   ,-2.37      ,68.88     ,-1.68 ,70.75 ,68.85 ,246529    ,70.55     ,70.55 ,-2.37   ,3.81B     ,Industrials               ,NYSE    ,26.89    ,Marine                                      ,Marine                               , 
LB    ,-2.34      ,50.02     ,-1.42 ,51.73 ,50.00 ,2017115   ,51.44     ,51.22 ,-2.76   ,14.71B    ,Consumer Discretionary    ,NYSE    ,12.93    ,Specialty Retail                            ,Apparel Retail                       , 
CXW   ,-2.22      ,31.72     ,-0.85 ,32.55 ,31.67 ,1072401   ,32.57     ,32.44 ,-2.61   ,3.83B     ,Real Estate               ,NYSE    ,17.42    ,Equity Real Estate Investment Trusts (REITs),Specialized REITs                    , 
EXP   ,-2.16      ,102.12    ,-2.00 ,104.64,101.94,360372    ,104.12    ,104.37,-1.92   ,5.04B     ,Materials                 ,NYSE    ,25.19    ,Construction Materials                      ,Construction Materials               , 
RS    ,-2.12      ,82.06     ,-1.76 ,83.84 ,82.06 ,214917    ,83.82     ,83.84 ,-2.10   ,6.11B     ,Materials                 ,NYSE    ,20.15    ,Metals & Mining                             ,Steel                                , 
