Symbol,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange ,Dividend,Relative Strength, 
IGT   ,INTL GAME TECHNOLOGY PLC ,23.57     ,3808674   ,-14.28     ,NYSE     ,0.80    ,78.00            , 
HCLP  ,HI-CRUSH PARTNERS LP     ,14.65     ,4988944   ,-13.82     ,NYSE     ,--      ,19.00            , 
VNET  ,21VIANET GROUP INC       ,5.695     ,4296305   ,-13.71     ,NASDAQ   ,--      ,12.00            , 
PRKR  ,PARKERVISION INC         ,2.39      ,1889143   ,-13.09     ,NCM      ,--      ,4.00             , 
TELL  ,TELLURIAN INC            ,9.98      ,2250147   ,-10.89     ,NASDAQ   ,--      ,--               , 
CVEO  ,CIVEO CORP               ,2.95      ,2084150   ,-10.33     ,NYSE     ,--      ,--               , 
MOMO  ,MOMO INC  -ADR           ,30.20     ,18271718  ,-8.31      ,NASDAQ   ,--      ,95.00            , 
SMTC  ,SEMTECH CORP             ,34.00     ,2582979   ,-8.23      ,NCM      ,--      ,74.00            , 
ELF   ,E.L.F. BEAUTY INC        ,28.50     ,3863925   ,-8.15      ,NYSE     ,--      ,11.00            , 
RNVA  ,RENNOVA HEALTH INC       ,2.3599    ,2390739   ,-7.45      ,NASDAQ   ,--      ,24.00            , 
PIR   ,PIER 1 IMPORTS INC/DE    ,6.555     ,2158254   ,-7.42      ,NYSE     ,0.28    ,89.00            , 
MTW   ,MANITOWOC CO             ,5.71      ,1902464   ,-7.31      ,NYSE     ,--      ,54.00            , 
ASNA  ,ASCENA RETAIL GROUP INC  ,4.2662    ,4740675   ,-6.24      ,NGM/NGS  ,--      ,1.00             , 
ESPR  ,ESPERION THERAPEUTICS INC,32.06     ,1933414   ,-5.82      ,NASDAQ   ,--      ,100.00           , 
TTI   ,TETRA TECHNOLOGIES INC/DE,3.84      ,1513268   ,-5.42      ,NYSE     ,--      ,2.00             , 
ZTO   ,ZTO EXPRESS (CAYM) INC -A,11.58     ,3340974   ,-5.31      ,NYSE     ,--      ,13.00            , 
HMY   ,HARMONY GOLD MINING CO LT,2.09      ,5005314   ,-5.00      ,NYSE     ,0.07    ,43.00            , 
TEX   ,TEREX CORP               ,29.55     ,2099484   ,-4.98      ,NYSE     ,0.32    ,66.00            , 
CENX  ,CENTURY ALUMINUM CO      ,12.37     ,2681628   ,-4.77      ,NGM/NGS  ,--      ,99.00            , 
IPXL  ,IMPAX LABORATORIES INC   ,9.10      ,2155127   ,-4.71      ,NASDAQ   ,--      ,1.00             , 
GGB   ,GERDAU SA                ,3.66      ,9801290   ,-4.69      ,NYSE     ,0.02    ,80.00            , 
EXAS  ,EXACT SCIENCES CORP      ,21.04     ,2166399   ,-4.54      ,NCM      ,--      ,99.00            , 
USLV  ,                         ,13.29     ,1773818   ,-4.53      ,NASDAQ   ,--      ,--               , 
EXP   ,EAGLE MATERIALS INC      ,96.43     ,1619535   ,-4.52      ,NYSE     ,0.40    ,54.00            , 
ERF   ,ENERPLUS CORP            ,7.9931    ,1617099   ,-4.50      ,NYSE     ,0.09    ,19.00            , 
SGYP  ,SYNERGY PHARMACEUTICALS I,5.31      ,4506669   ,-4.32      ,NASDAQ   ,--      ,61.00            , 
FRAC  ,KEANE GROUP INC          ,15.10     ,2910513   ,-4.25      ,NYSE     ,--      ,--               , 
CIG   ,CIA ENERGETICA DE MINAS  ,3.315     ,4930401   ,-4.19      ,NYSE     ,0.19    ,99.00            , 
SPWR  ,SUNPOWER CORP            ,7.19      ,2349722   ,-4.13      ,NCM      ,--      ,92.00            , 
TLRD  ,TAILORED BRANDS INC      ,15.85     ,14493345  ,-4.11      ,NYSE     ,0.72    ,91.00            , 
JNUG  ,DIREXION DLY JR GOLD MNRS,5.395     ,50803886  ,-3.83      ,NYSE     ,--      ,11.00            , 
CLNS  ,COLONY NORTHSTAR INC     ,12.96     ,3821216   ,-3.82      ,NYSE     ,0.96    ,23.00            , 
FMSA  ,FAIRMOUNT SANTROL HOLDING,7.24      ,20787920  ,-3.72      ,NYSE     ,--      ,71.00            , 
GV    ,GOLDFIELD CORP           ,8.10      ,1931129   ,-3.57      ,NYSE AMEX,--      ,100.00           , 
DDR   ,DDR CORP                 ,13.08     ,5687894   ,-3.43      ,NYSE     ,0.76    ,13.00            , 
GNC   ,GNC HOLDINGS INC         ,7.43      ,2808174   ,-3.38      ,NYSE     ,--      ,1.00             , 
MUX   ,MCEWEN MINING INC        ,2.86      ,3271386   ,-3.38      ,NYSE     ,0.01    ,57.00            , 
EXG   ,EATON VANCE TAX-MNGD GLBL,8.31      ,2149509   ,-3.26      ,NYSE     ,0.91    ,62.00            , 
AMX   ,AMERICA MOVIL SA DE CV   ,12.73     ,11546433  ,-3.19      ,NYSE     ,0.29    ,80.00            , 
VRX   ,VALEANT PHARMACEUTICALS I,11.58     ,14318650  ,-3.18      ,NYSE     ,--      ,6.00             , 
SVU   ,SUPERVALU INC            ,3.37      ,4301391   ,-3.16      ,NYSE     ,--      ,3.00             , 
HRB   ,BLOCK H & R INC          ,23.39     ,4458809   ,-3.11      ,NYSE     ,0.88    ,16.00            , 
HIMX  ,HIMAX TECHNOLOGIES INC   ,7.61      ,4556706   ,-3.06      ,NGM/NGS  ,0.13    ,29.00            , 
RAD   ,RITE AID CORP            ,4.65      ,22187808  ,-2.92      ,NYSE     ,--      ,1.00             , 
WB    ,WEIBO CORP               ,48.26     ,1944105   ,-2.92      ,NASDAQ   ,--      ,65.00            , 
CLD   ,CLOUD PEAK ENERGY INC    ,3.905     ,1743759   ,-2.86      ,NYSE     ,--      ,2.00             , 
FAST  ,FASTENAL CO              ,49.96     ,1865453   ,-2.84      ,NGM/NGS  ,1.28    ,64.00            , 
VIPS  ,VIPSHOP HOLDINGS LTD  -AD,12.81     ,3823903   ,-2.81      ,NYSE     ,--      ,79.00            , 
WNR   ,WESTERN REFINING INC     ,34.95     ,1758570   ,-2.75      ,NYSE     ,1.52    ,19.00            , 
PSEC  ,PROSPECT CAPITAL CORP    ,8.85      ,7870316   ,-2.75      ,NCM      ,1.00    ,89.00            , 
