Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
IGT   ,-14.11     ,23.61     ,-4.05 ,27.49 ,23.30 ,3785279   ,27.66     ,27.49 ,-14.64  ,5.56B     ,Consumer Discretionary,NYSE    ,--       , 
MOMO  ,-8.11      ,30.26     ,-3.93 ,33.00 ,29.56 ,18238193  ,34.19     ,32.93 ,-11.49  ,6.59B     ,Information Technology,NASDAQ  ,--       , 
IONS  ,-3.74      ,45.24     ,-1.89 ,47.96 ,44.68 ,1368344   ,47.13     ,47.00 ,-4.01   ,5.83B     ,Health Care           ,NASDAQ  ,--       , 
FAST  ,-2.79      ,49.99     ,-1.46 ,51.84 ,49.96 ,1846040   ,51.44     ,51.42 ,-2.83   ,14.88B    ,Industrials           ,NGM/NGS ,29.76    , 
TSO   ,-2.70      ,80.98     ,-2.78 ,83.23 ,80.39 ,2283947   ,83.76     ,83.23 ,-3.32   ,9.80B     ,Energy                ,NYSE    ,13.68    , 
PPG   ,-2.68      ,103.16    ,-3.68 ,107.32,101.42,5069948   ,106.83    ,106.00,-3.44   ,27.47B    ,Materials             ,NYSE    ,32.56    , 
AAL   ,-2.65      ,43.32     ,-1.57 ,44.93 ,43.25 ,7821716   ,44.89     ,44.50 ,-3.50   ,22.63B    ,Industrials           ,NASDAQ  ,9.33     , 
SPG   ,-2.61      ,170.11    ,-4.58 ,174.77,169.50,2920631   ,174.69    ,174.66,-2.62   ,55.87B    ,Real Estate           ,NYSE    ,29.76    , 
GGP   ,-2.58      ,23.02     ,-0.56 ,23.70 ,22.86 ,6123657   ,23.58     ,23.63 ,-2.37   ,20.87B    ,Real Estate           ,NYSE    ,17.60    , 
AMH   ,-2.53      ,22.13     ,-0.56 ,22.76 ,22.05 ,1464887   ,22.68     ,22.70 ,-2.45   ,5.51B     ,Real Estate           ,NYSE    ,--       , 
FLR   ,-2.50      ,53.00     ,-1.63 ,54.52 ,52.91 ,1260517   ,54.63     ,54.36 ,-2.98   ,7.61B     ,Industrials           ,NYSE    ,27.32    , 
KIM   ,-2.50      ,21.67     ,-0.58 ,22.39 ,21.59 ,4110830   ,22.24     ,22.22 ,-2.59   ,9.47B     ,Real Estate           ,NYSE    ,28.15    , 
THO   ,-2.40      ,99.06     ,-2.39 ,101.76,98.23 ,1271745   ,101.45    ,101.50,-2.36   ,5.33B     ,Consumer Discretionary,NYSE    ,17.53    , 
AA    ,-2.27      ,35.25     ,-0.74 ,36.55 ,34.89 ,3739255   ,35.99     ,36.07 ,-2.06   ,6.62B     ,Materials             ,NYSE    ,--       , 
WDC   ,-2.26      ,74.34     ,-2.11 ,76.07 ,73.07 ,4195005   ,76.45     ,76.06 ,-2.76   ,22.02B    ,Information Technology,NASDAQ  ,--       , 
REG   ,-2.21      ,63.18     ,-1.60 ,65.04 ,62.92 ,1243056   ,64.78     ,64.61 ,-2.47   ,11.02B    ,Real Estate           ,NYSE    ,45.62    , 
IRM   ,-2.19      ,34.01     ,-0.75 ,34.86 ,33.94 ,1171399   ,34.76     ,34.77 ,-2.16   ,9.17B     ,Real Estate           ,NYSE    ,82.07    , 
STX   ,-2.17      ,46.52     ,-1.59 ,47.80 ,45.58 ,5445567   ,48.11     ,47.55 ,-3.30   ,14.20B    ,Information Technology,NASDAQ  ,28.06    , 
CF    ,-2.11      ,29.28     ,-0.34 ,30.89 ,29.00 ,4751018   ,29.62     ,29.91 ,-1.15   ,6.90B     ,Materials             ,NYSE    ,--       , 
HUN   ,-2.01      ,21.71     ,-0.44 ,22.18 ,21.61 ,1496451   ,22.14     ,22.15 ,-1.96   ,5.28B     ,Materials             ,NYSE    ,16.24    , 
